% N density lambda LLtest TP FP
200 0.13 250.000000  0.000000 0.292528 0.151354
200 0.13 200.000000  0.000000 0.321145 0.166397
200 0.13 150.000000  0.000000 0.370429 0.186531
200 0.13 100.000000  0.000000 0.440382 0.221245
200 0.13 50.000000  0.000000 0.567568 0.277251
200 0.13 40.000000  0.000000 0.612083 0.293219
200 0.13 30.000000  0.000000 0.661367 0.322611
200 0.13 20.000000  0.000000 0.694754 0.352696
200 0.13 10.000000  0.000000 0.777424 0.409165
200 0.13 5.000000  0.000000 0.818760 0.457302
200 0.13 1.000000  0.000000 0.863275 0.515621
200 0.14 500.000000  0.000000 0.180867 0.130343
200 0.14 450.000000  0.000000 0.209268 0.146928
200 0.14 400.000000  0.000000 0.219731 0.154403
200 0.14 350.000000  0.000000 0.237668 0.163980
200 0.14 300.000000  0.000000 0.245142 0.174726
200 0.14 250.000000  0.000000 0.258595 0.179631
200 0.14 200.000000  0.000000 0.273543 0.190376
200 0.14 150.000000  0.000000 0.294469 0.203924
200 0.14 100.000000  0.000000 0.330344 0.221444
200 0.14 50.000000  0.000000 0.367713 0.250409
200 0.14 40.000000  0.000000 0.378176 0.258351
200 0.14 30.000000  0.000000 0.385650 0.270731
200 0.14 20.000000  0.000000 0.405082 0.285681
200 0.14 10.000000  0.000000 0.421525 0.305302
200 0.14 5.000000  0.000000 0.428999 0.313245
200 0.14 1.000000  0.000000 0.446936 0.325158
500 0.12 500.000000  0.000000 0.321370 0.178234
500 0.12 450.000000  0.000000 0.375204 0.189301
500 0.12 400.000000  0.000000 0.389886 0.196910
500 0.12 350.000000  0.000000 0.411093 0.208900
500 0.12 300.000000  0.000000 0.440457 0.222735
500 0.12 250.000000  0.000000 0.474715 0.235416
500 0.12 200.000000  0.000000 0.505710 0.249942
500 0.12 150.000000  0.000000 0.541599 0.270002
500 0.12 100.000000  0.000000 0.603589 0.299055
500 0.12 50.000000  0.000000 0.716150 0.355545
500 0.12 40.000000  0.000000 0.732463 0.367074
500 0.12 30.000000  0.000000 0.774878 0.388517
500 0.12 20.000000  0.000000 0.812398 0.417570
500 0.12 10.000000  0.000000 0.859706 0.449850
500 0.12 5.000000  0.000000 0.882545 0.483975
500 0.12 1.000000  0.000000 0.893964 0.510491
500 0.13 500.000000  0.000000 0.259202 0.175896
500 0.13 450.000000  0.000000 0.283742 0.185435
500 0.13 400.000000  0.000000 0.305215 0.197534
500 0.13 350.000000  0.000000 0.325153 0.203583
500 0.13 300.000000  0.000000 0.343558 0.212657
500 0.13 250.000000  0.000000 0.369632 0.223592
500 0.13 200.000000  0.000000 0.394172 0.236854
500 0.13 150.000000  0.000000 0.417178 0.250814
500 0.13 100.000000  0.000000 0.463190 0.276873
500 0.13 50.000000  0.000000 0.529141 0.317822
500 0.13 40.000000  0.000000 0.546012 0.330619
500 0.13 30.000000  0.000000 0.570552 0.350163
500 0.13 20.000000  0.000000 0.587423 0.364123
500 0.13 10.000000  0.000000 0.618098 0.393439
500 0.13 5.000000  0.000000 0.622699 0.412517
500 0.13 1.000000  0.000000 0.633436 0.429502
500 0.14 500.000000  0.000000 0.253968 0.145173
500 0.14 450.000000  0.000000 0.268398 0.154099
500 0.14 400.000000  0.000000 0.277056 0.164435
500 0.14 350.000000  0.000000 0.308802 0.172657
500 0.14 300.000000  0.000000 0.323232 0.182053
500 0.14 250.000000  0.000000 0.350649 0.197792
500 0.14 200.000000  0.000000 0.382395 0.213296
500 0.14 150.000000  0.000000 0.419913 0.235612
500 0.14 100.000000  0.000000 0.463203 0.266855
500 0.14 50.000000  0.000000 0.580087 0.321353
500 0.14 40.000000  0.000000 0.593074 0.333568
500 0.14 30.000000  0.000000 0.634921 0.359408
500 0.14 20.000000  0.000000 0.699856 0.386187
500 0.14 10.000000  0.000000 0.735931 0.429880
500 0.14 5.000000  0.000000 0.751804 0.463237
500 0.14 1.000000  0.000000 0.783550 0.509984
500 0.13 500.000000  0.000000 0.314785 0.136774
500 0.13 450.000000  0.000000 0.338633 0.145337
500 0.13 400.000000  0.000000 0.359300 0.154362
500 0.13 350.000000  0.000000 0.386328 0.167785
500 0.13 300.000000  0.000000 0.413355 0.184217
500 0.13 250.000000  0.000000 0.445151 0.200417
500 0.13 200.000000  0.000000 0.481717 0.224022
500 0.13 150.000000  0.000000 0.542130 0.250636
500 0.13 100.000000  0.000000 0.607313 0.281416
500 0.13 50.000000  0.000000 0.704293 0.347605
500 0.13 40.000000  0.000000 0.731320 0.361490
500 0.13 30.000000  0.000000 0.764706 0.382550
500 0.13 20.000000  0.000000 0.807631 0.417496
500 0.13 10.000000  0.000000 0.858506 0.468179
500 0.13 5.000000  0.000000 0.879173 0.497570
500 0.13 1.000000  0.000000 0.895072 0.530896
500 0.14 500.000000  0.000000 0.242152 0.170054
500 0.14 450.000000  0.000000 0.267564 0.192245
500 0.14 400.000000  0.000000 0.281016 0.201121
500 0.14 350.000000  0.000000 0.298954 0.211633
500 0.14 300.000000  0.000000 0.322870 0.220976
500 0.14 250.000000  0.000000 0.331839 0.230086
500 0.14 200.000000  0.000000 0.343797 0.234525
500 0.14 150.000000  0.000000 0.363229 0.249241
500 0.14 100.000000  0.000000 0.381166 0.260920
500 0.14 50.000000  0.000000 0.408072 0.284513
500 0.14 40.000000  0.000000 0.412556 0.288484
500 0.14 30.000000  0.000000 0.420030 0.297127
500 0.14 20.000000  0.000000 0.442451 0.309507
500 0.14 10.000000  0.000000 0.455904 0.321420
500 0.14 5.000000  0.000000 0.460389 0.329829
500 0.14 1.000000  0.000000 0.464873 0.334968
1000 0.12 500.000000  0.000000 0.394780 0.230574
1000 0.12 450.000000  0.000000 0.443719 0.236800
1000 0.12 400.000000  0.000000 0.471452 0.240028
1000 0.12 350.000000  0.000000 0.497553 0.249481
1000 0.12 300.000000  0.000000 0.515498 0.257551
1000 0.12 250.000000  0.000000 0.543230 0.272769
1000 0.12 200.000000  0.000000 0.580750 0.288909
1000 0.12 150.000000  0.000000 0.626427 0.316117
1000 0.12 100.000000  0.000000 0.691680 0.350242
1000 0.12 50.000000  0.000000 0.786297 0.402582
1000 0.12 40.000000  0.000000 0.823817 0.414572
1000 0.12 30.000000  0.000000 0.831974 0.427254
1000 0.12 20.000000  0.000000 0.848287 0.451464
1000 0.12 10.000000  0.000000 0.869494 0.478902
1000 0.12 5.000000  0.000000 0.877651 0.491584
1000 0.12 1.000000  0.000000 0.887439 0.511183
1000 0.13 500.000000  0.000000 0.317485 0.221266
1000 0.13 450.000000  0.000000 0.357362 0.239646
1000 0.13 400.000000  0.000000 0.389571 0.248255
1000 0.13 350.000000  0.000000 0.398773 0.261517
1000 0.13 300.000000  0.000000 0.420245 0.273383
1000 0.13 250.000000  0.000000 0.432515 0.277804
