% N density b b_old lambda LLtest TP FP
200 0.05 0.184291 0.184291 5.426210 0.000000 0.484496 0.343990
200 0.05 0.170095 0.170095 5.879084 0.000000 0.455598 0.308250
200 0.05 0.184228 0.184228 5.428042 0.000000 0.465116 0.348252
200 0.05 0.178711 0.178711 5.595641 0.000000 0.486381 0.312806
200 0.05 0.168142 0.168142 5.947369 0.000000 0.496094 0.300170
200 0.05 0.186562 0.186562 5.360149 0.000000 0.465116 0.339301
200 0.05 0.179507 0.179507 5.570816 0.000000 0.486486 0.327649
200 0.05 0.183387 0.183387 5.452954 0.000000 0.472868 0.343990
200 0.05 0.178824 0.178824 5.592085 0.000000 0.517510 0.319412
200 0.05 0.179376 0.179376 5.574895 0.000000 0.511719 0.323605
200 0.05 0.168176 0.168176 5.946153 0.000000 0.496124 0.296888
200 0.05 0.188776 0.188776 5.297294 0.000000 0.540541 0.327436
200 0.05 0.177727 0.177727 5.626612 0.000000 0.465116 0.306479
200 0.05 0.179832 0.179832 5.560742 0.000000 0.474708 0.328788
200 0.05 0.190637 0.190637 5.245574 0.000000 0.511719 0.340861
200 0.05 0.178440 0.178440 5.604113 0.000000 0.488372 0.325448
200 0.21 0.190419 0.190419 5.251571 0.000000 0.489464 0.350230
200 0.21 0.191585 0.191585 5.219625 0.000000 0.498567 0.359211
200 0.21 0.186121 0.186121 5.372842 0.000000 0.475598 0.347247
200 0.21 0.177294 0.177294 5.640355 0.000000 0.491363 0.317554
200 0.21 0.200430 0.200430 4.989278 0.000000 0.506220 0.367478
200 0.21 0.182148 0.182148 5.490039 0.000000 0.473180 0.343062
200 0.21 0.185718 0.185718 5.384497 0.000000 0.473734 0.323597
200 0.21 0.194654 0.194654 5.137317 0.000000 0.478469 0.364405
200 0.21 0.193965 0.193965 5.155566 0.000000 0.488484 0.357472
200 0.21 0.185977 0.185977 5.377015 0.000000 0.490909 0.334955
200 0.21 0.176318 0.176318 5.671566 0.000000 0.474138 0.319252
200 0.21 0.182459 0.182459 5.480669 0.000000 0.486151 0.346144
200 0.21 0.177552 0.177552 5.632168 0.000000 0.493780 0.319846
200 0.21 0.187187 0.187187 5.342245 0.000000 0.476967 0.349539
200 0.21 0.184090 0.184090 5.432131 0.000000 0.458373 0.336236
200 0.21 0.200230 0.200230 4.994247 0.000000 0.522031 0.371480
200 0.21 0.177430 0.177430 5.636012 0.000000 0.448902 0.343326
200 0.21 0.167993 0.167993 5.952645 0.000000 0.482297 0.295775
200 0.21 0.181924 0.181924 5.496793 0.000000 0.474088 0.330860
200 0.21 0.212089 0.212089 4.715012 0.000000 0.528230 0.388220
200 0.21 0.187497 0.187497 5.333430 0.000000 0.488506 0.346902
200 0.21 0.188329 0.188329 5.309849 0.000000 0.469914 0.346144
200 0.21 0.180140 0.180140 5.551250 0.000000 0.485167 0.335211
200 0.21 0.185733 0.185733 5.384059 0.000000 0.501919 0.349284
200 0.21 0.201500 0.201500 4.962778 0.000000 0.490909 0.378489
200 0.31 0.177148 0.177148 5.644996 0.000000 0.477573 0.322947
200 0.31 0.181999 0.181999 5.494537 0.000000 0.452208 0.337314
200 0.31 0.188327 0.188327 5.309899 0.000000 0.478033 0.355328
200 0.31 0.187762 0.187762 5.325900 0.000000 0.471363 0.350044
200 0.31 0.191893 0.191893 5.211243 0.000000 0.458333 0.363874
200 0.31 0.176832 0.176832 5.655092 0.000000 0.457784 0.336925
200 0.31 0.187142 0.187142 5.343525 0.000000 0.478576 0.349548
200 0.31 0.180152 0.180152 5.550863 0.000000 0.481311 0.338394
200 0.31 0.191308 0.191308 5.227185 0.000000 0.502304 0.368406
200 0.31 0.190700 0.190700 5.243840 0.000000 0.484127 0.353694
200 0.31 0.188870 0.188870 5.294638 0.000000 0.476253 0.368375
200 0.31 0.182523 0.182523 5.478776 0.000000 0.446276 0.327410
200 0.31 0.194241 0.194241 5.148252 0.000000 0.518689 0.370219
200 0.31 0.198723 0.198723 5.032124 0.000000 0.512179 0.370446
200 0.31 0.191546 0.191546 5.220690 0.000000 0.478836 0.369983
200 0.31 0.192156 0.192156 5.204102 0.000000 0.503298 0.343914
200 0.31 0.194474 0.194474 5.142078 0.000000 0.498352 0.364987
200 0.31 0.199857 0.199857 5.003586 0.000000 0.500984 0.380146
200 0.31 0.197311 0.197311 5.068153 0.000000 0.493746 0.357913
200 0.31 0.184300 0.184300 5.425933 0.000000 0.449735 0.351076
200 0.31 0.203565 0.203565 4.912441 0.000000 0.484828 0.377402
200 0.31 0.194258 0.194258 5.147798 0.000000 0.483191 0.357705
200 0.31 0.206555 0.206555 4.841329 0.000000 0.525246 0.382190
200 0.31 0.177449 0.177449 5.635429 0.000000 0.441738 0.341591
200 0.31 0.209107 0.209107 4.782242 0.000000 0.501323 0.382781
500 0.05 0.064396 0.064396 15.528972 0.000000 0.416988 0.104882
500 0.05 0.064341 0.064341 15.542073 0.000000 0.445736 0.102941
500 0.05 0.062586 0.062586 15.978036 0.000000 0.381323 0.097592
500 0.05 0.063582 0.063582 15.727607 0.000000 0.406250 0.094376
500 0.05 0.064229 0.064229 15.569221 0.000000 0.391473 0.104646
500 0.05 0.063677 0.063677 15.704141 0.000000 0.393822 0.097421
500 0.05 0.063852 0.063852 15.661265 0.000000 0.391473 0.101876
500 0.05 0.066064 0.066064 15.136873 0.000000 0.459144 0.118261
500 0.05 0.064724 0.064724 15.450298 0.000000 0.406250 0.110141
500 0.05 0.061722 0.061722 16.201648 0.000000 0.379845 0.088875
500 0.05 0.063306 0.063306 15.796256 0.000000 0.455598 0.098700
500 0.05 0.062955 0.062955 15.884242 0.000000 0.395349 0.112106
500 0.05 0.063876 0.063876 15.655386 0.000000 0.447471 0.108672
500 0.05 0.065841 0.065841 15.188152 0.000000 0.488281 0.112697
500 0.05 0.063921 0.063921 15.644424 0.000000 0.418605 0.099957
500 0.05 0.064742 0.064742 15.445900 0.000000 0.440154 0.104669
500 0.05 0.064639 0.064639 15.470614 0.000000 0.410853 0.106351
500 0.05 0.062823 0.062823 15.917827 0.000000 0.412451 0.103985
500 0.05 0.063216 0.063216 15.818832 0.000000 0.375000 0.094163
500 0.05 0.064655 0.064655 15.466760 0.000000 0.414729 0.104859
500 0.05 0.064599 0.064599 15.480093 0.000000 0.401544 0.102324
500 0.05 0.064083 0.064083 15.604788 0.000000 0.406977 0.106991
500 0.05 0.063087 0.063087 15.851076 0.000000 0.459144 0.106329
500 0.05 0.063975 0.063975 15.631034 0.000000 0.421875 0.100341
500 0.05 0.062842 0.062842 15.912931 0.000000 0.430233 0.098892
500 0.21 0.069907 0.069907 14.304766 0.000000 0.432950 0.158730
500 0.21 0.069301 0.069301 14.429887 0.000000 0.382999 0.141686
500 0.21 0.071349 0.071349 14.015614 0.000000 0.396172 0.157234
500 0.21 0.068790 0.068790 14.536928 0.000000 0.414587 0.149693
500 0.21 0.070914 0.070914 14.101678 0.000000 0.459330 0.152881
