%n density lambda lse TP FP 
%n density lambda lse TP FP 
1000 0.2196 0.1 1.087126 0.9990458 0.9941056
1000 0.219 0.1 1.071737 0.999043 0.9930858
1000 0.219 0.1 1.053362 0.999043 0.9948784
1000 0.219 0.1 1.079411 0.9980861 0.993598
1000 0.219 0.1 1.051514 0.999043 0.9956466
1000 0.219 0.1 1.039819 0.999043 0.9928297
1000 0.2182 0.1 1.075574 0.9990394 0.994372
1000 0.2182 0.1 1.068892 0.9990394 0.9938603
1000 0.2182 0.1 1.045737 0.9980788 0.995651
1000 0.2182 0.1 1.068836 0.9980788 0.9933487
1000 0.2182 0.1 1.042351 1 0.995651
1000 0.2194 0.1 1.064556 0.9980898 0.9959006
1000 0.2194 0.1 1.071294 0.9971347 0.9953882
1000 0.2194 0.1 1.051811 0.9980898 0.9966692
1000 0.2194 0.1 1.051791 0.9980898 0.9959006
1000 0.2194 0.1 1.082641 0.9971347 0.9947476
%n density lambda lse TP FP 
1000 0.3138 0.1 1.048163 1 0.9947537
1000 0.3138 0.1 1.037374 1 0.9944623
1000 0.3138 0.1 1.037283 0.9973667 0.9941708
1000 0.3138 0.1 1.014235 1 0.9953366
1000 0.3138 0.1 1.045236 0.9973667 0.9938793
1000 0.3146 0.1 1.045243 0.9980302 0.9938722
1000 0.3146 0.1 1.068627 1 0.994164
1000 0.3146 0.1 0.9859998 0.9993434 0.9967902
1000 0.3146 0.1 1.066255 0.9973736 0.9967902
1000 0.3146 0.1 1.027587 0.9993434 0.9959148
1000 0.3138 0.1 1.082824 0.998025 0.9935879
1000 0.3138 0.1 1.060316 0.998025 0.9944623
1000 0.3138 0.1 1.036029 0.998025 0.993005
1000 0.3138 0.1 1.039234 0.9953917 0.9932964
1000 0.3138 0.1 1.028175 0.998025 0.9932964
1000 0.3128 0.1 1.034128 0.998679 0.9930151
1000 0.3128 0.1 1.040793 0.998679 0.9965076
1000 0.3128 0.1 0.988304 0.998679 0.9959255
1000 0.3128 0.1 1.022340 0.998679 0.9953434
1000 0.3128 0.1 0.9864373 0.9980185 0.992433
1000 0.3138 0.1 1.072060 0.9967084 0.9947537
1000 0.3138 0.1 1.006160 0.998025 0.9950452
1000 0.3138 0.1 1.034766 0.9973667 0.9932964
1000 0.3138 0.1 1.033364 0.9993417 0.9953366
1000 0.3138 0.1 1.049979 0.9986833 0.995628
