%n density lambda lse TP FP 
%n density lambda lse TP FP 
500 0.3138 0.1 1.125626 0.9953917 0.9915477
500 0.3138 0.1 1.134766 0.9953917 0.9935879
500 0.3146 0.1 1.168993 0.9960604 0.992705
500 0.3146 0.1 1.164781 0.9947472 0.989787
500 0.3146 0.1 1.162609 0.9980302 0.9909542
500 0.3146 0.1 1.20176 0.993434 0.9935804
500 0.3146 0.1 1.146503 0.9970453 0.992705
500 0.3138 0.1 1.178848 0.9967084 0.9927135
500 0.3138 0.1 1.177588 0.99605 0.9932964
500 0.3138 0.1 1.190231 0.9973667 0.9909647
500 0.3138 0.1 1.154298 0.9947334 0.9912562
500 0.3138 0.1 1.183768 0.998025 0.9906733
500 0.3128 0.1 1.190351 0.994716 0.9899593
500 0.3128 0.1 1.188316 0.9980185 0.9930151
500 0.3128 0.1 1.131890 0.996037 0.9947614
500 0.3128 0.1 1.173090 0.9980185 0.9922875
500 0.3128 0.1 1.152705 0.993395 0.9898137
500 0.3138 0.1 1.149585 0.9947334 0.9938793
500 0.3138 0.1 1.111551 0.99605 0.9897989
500 0.3138 0.1 1.165271 0.9953917 0.9897989
500 0.3138 0.1 1.108379 0.998025 0.9895074
500 0.3138 0.1 1.164677 0.99605 0.9921306
%n density lambda lse TP FP 
1000 0.0614 0.1 1.113902 1 0.9942468
1000 0.0614 0.1 1.086363 1 0.9938206
1000 0.0614 0.1 1.101185 0.996109 0.9933944
1000 0.0614 0.1 1.120491 1 0.9931813
1000 0.0614 0.1 1.073667 1 0.994673
1000 0.0612 0.1 1.090558 1 0.9927567
1000 0.0612 0.1 1.109333 0.9921875 0.9936089
1000 0.0612 0.1 1.082914 1 0.9938219
1000 0.0612 0.1 1.080901 1 0.994674
1000 0.0612 0.1 1.128790 0.9960938 0.9953132
1000 0.0616 0.1 1.080596 0.996124 0.9953112
1000 0.0616 0.1 1.122922 1 0.9931799
1000 0.0616 0.1 1.099863 0.996124 0.994885
1000 0.0616 0.1 1.083871 0.992248 0.994885
1000 0.0616 0.1 1.114483 1 0.9940324
1000 0.0614 0.1 1.061259 0.996109 0.9940337
1000 0.0614 0.1 1.08687 0.996109 0.9933944
1000 0.0614 0.1 1.109172 0.996109 0.9933944
1000 0.0614 0.1 1.084471 0.996109 0.994886
1000 0.0614 0.1 1.078291 0.996109 0.9953122
1000 0.0618 0.1 1.108700 1 0.9944575
1000 0.0618 0.1 1.092758 0.996139 0.9946706
1000 0.0618 0.1 1.099047 1 0.993818
1000 0.0618 0.1 1.105684 1 0.993818
1000 0.0618 0.1 1.103028 0.996139 0.9955233
%n density lambda lse TP FP 
1000 0.2188 0.1 1.066204 0.9990421 0.9928315
1000 0.2188 0.1 1.055273 1 0.9971838
1000 0.2188 0.1 1.102054 0.9990421 0.9928315
1000 0.2188 0.1 1.03498 0.9980843 0.9941116
1000 0.2188 0.1 1.098282 0.9971264 0.9933436
1000 0.2196 0.1 1.060037 0.9980916 0.9930805
1000 0.2196 0.1 1.089729 0.9971374 0.993593
1000 0.2196 0.1 1.085678 0.9980916 0.9928242
1000 0.2196 0.1 1.09321 0.9980916 0.9946181
1000 0.2196 0.1 1.06536 1 0.9923116
1000 0.219 0.1 1.078308 0.9980861 0.9941101
1000 0.219 0.1 1.043448 0.999043 0.993854
1000 0.219 0.1 1.041473 0.999043 0.9928297
1000 0.219 0.1 1.084445 0.9980861 0.9946223
1000 0.219 0.1 1.068502 0.9971292 0.993854
1000 0.2182 0.1 1.069231 0.9980788 0.9953952
1000 0.2182 0.1 1.073098 0.9971182 0.9946278
1000 0.2182 0.1 1.074231 0.9980788 0.9930929
1000 0.2182 0.1 1.064036 0.9961575 0.9961627
1000 0.2182 0.1 1.038416 0.9980788 0.9933487
1000 0.2194 0.1 1.083899 0.9990449 0.9938509
1000 0.2194 0.1 1.030317 0.9980898 0.995132
1000 0.2194 0.1 1.069541 1 0.994107
1000 0.2194 0.1 1.078852 0.9980898 0.9918012
1000 0.2194 0.1 1.093632 0.9990449 0.9959006
%n density lambda lse TP FP 
1000 0.3138 0.1 1.038898 0.99605 0.9953366
1000 0.3138 0.1 1.046429 0.9993417 0.9950452
1000 0.3138 0.1 0.9898308 0.99605 0.9953366
1000 0.3138 0.1 1.053262 0.9986833 0.9953366
1000 0.3138 0.1 1.068428 0.998025 0.9947537
1000 0.3146 0.1 1.041861 0.9973736 0.9924132
