%n density  glcalls lse TP FP 
30 0.3134 7 1.230864 0.3078444 0.2985727
30 0.3134 12 1.244725 0.3282795 0.3017769
30 0.3134 8 1.23959 0.3249835 0.2889601
30 0.3134 12 1.20316 0.3328939 0.3116807
30 0.3134 10 1.250875 0.2959789 0.2994465
30 0.3134 11 1.240868 0.3230059 0.3116807
50 0.0614 7 1.255534 0.5136187 0.4421479
50 0.0614 7 1.299063 0.5175097 0.4378862
50 0.0614 7 1.237929 0.4785992 0.4202003
50 0.0614 12 1.261655 0.4280156 0.4170040
50 0.0614 7 1.271415 0.3968872 0.4285105
50 0.0614 6 1.249378 0.4708171 0.4174302
50 0.0614 7 1.254104 0.4785992 0.4359685
50 0.0614 7 1.265632 0.4396887 0.4095461
50 0.0614 7 1.251155 0.5058366 0.4165779
50 0.0614 6 1.249544 0.4669261 0.4331984
50 0.0612 7 1.175128 0.4960938 0.4077546
50 0.0612 7 1.213958 0.453125 0.4137196
50 0.0612 11 1.245365 0.4921875 0.4296975
50 0.0612 7 1.261478 0.4960938 0.4385386
50 0.0612 7 1.267001 0.4492188 0.4203238
50 0.0612 7 1.229679 0.4960938 0.4254367
50 0.0612 7 1.211280 0.4492188 0.4181934
50 0.0612 7 1.243330 0.5195312 0.4160631
50 0.0612 11 1.245903 0.515625 0.4375799
50 0.0612 7 1.253283 0.5234375 0.4184065
50 0.0616 12 1.267794 0.4534884 0.4245524
50 0.0616 7 1.261121 0.4844961 0.43052
50 0.0616 7 1.266469 0.5077519 0.4102728
50 0.0616 7 1.250556 0.4496124 0.4262575
50 0.0616 6 1.251446 0.5116279 0.4218883
50 0.0616 7 1.220935 0.4689922 0.4241262
50 0.0616 7 1.238665 0.4883721 0.4244459
50 0.0616 7 1.301351 0.4651163 0.4277494
50 0.0616 7 1.197408 0.4302326 0.4149616
50 0.0616 4 1.266981 0.4573643 0.4202899
50 0.0614 6 1.226009 0.4163424 0.4274451
50 0.0614 7 1.216024 0.4435798 0.4107181
50 0.0614 11 1.257993 0.463035 0.4243554
50 0.0614 7 1.243949 0.5175097 0.4291498
50 0.0614 7 1.266744 0.4980545 0.4238227
50 0.0614 7 1.275497 0.4513619 0.4208395
