n density b b_old_avg lambda glcalls_avg lse TP FP 
%n density b b_old lambda lse TP FP 
30 0.2196 100 42.69887 155.5461 6 1.054714 0 0
30 0.2196 100 42.85209 155.5264 6 1.038419 0 0
30 0.219 100 42.51407 155.5518 6 1.070326 0 0
30 0.219 100 42.87827 155.5142 6 1.055614 0 0
30 0.219 100 43.04432 155.5316 5 1.082035 0 0
30 0.219 100 42.81653 155.5178 6 1.057584 0 0
30 0.219 100 42.86735 155.5328 6 1.066373 0 0
30 0.2182 100 42.93388 155.5475 6 1.078017 0 0
30 0.2182 100 42.8101 155.5364 6 1.066448 0 0
30 0.2182 100 42.87671 155.5446 6 1.079665 0 0
30 0.2182 100 42.96544 155.5184 5 1.072433 0 0
30 0.2182 100 42.42198 155.5354 6 1.055350 0 0
30 0.2194 100 42.63694 155.5396 8 1.043839 0 0
30 0.2194 100 42.65109 155.5117 5 1.080747 0 0
30 0.2194 100 42.68549 155.5377 6 1.069566 0 0
30 0.2194 100 43.09478 155.5255 5 1.060409 0 0
30 0.2194 100 42.77347 155.5260 6 1.074538 0 0
%n density b b_old lambda lse TP FP 
30 0.2188 200 42.86945 236.3646 5 1.055050 0 0
30 0.2188 200 42.69711 236.361 5 1.050581 0 0
30 0.2188 200 42.84922 236.3581 5 1.065407 0 0
30 0.2188 200 42.93404 236.3515 5 1.05942 0 0
30 0.2188 200 42.95505 236.3659 5 1.059942 0 0
30 0.2196 200 42.72227 236.3627 5 1.064523 0 0
30 0.2196 200 42.64286 236.3601 5 1.046007 0 0
30 0.2196 200 42.60741 236.3672 5 1.060516 0 0
30 0.2196 200 42.8061 236.3499 5 1.103864 0 0
30 0.2196 200 42.79458 236.3593 5 1.053873 0 0
30 0.219 200 42.73482 236.3534 5 1.064701 0 0
30 0.219 200 42.82305 236.3391 5 1.041142 0 0
30 0.219 200 42.47286 236.3615 5 1.064489 0 0
30 0.219 200 42.57954 236.3670 5 1.070519 0 0
30 0.219 200 42.80557 236.3626 5 1.074487 0 0
30 0.2182 200 42.65978 236.3592 5 1.044526 0 0
30 0.2182 200 42.85559 236.3673 5 1.054980 0 0
30 0.2182 200 42.91808 236.3528 5 1.057450 0 0
30 0.2182 200 42.90428 236.3564 5 1.066132 0 0
30 0.2182 200 42.73550 236.358 5 1.064543 0 0
30 0.2194 200 42.74484 236.3627 5 1.059901 0 0
30 0.2194 200 42.9156 236.3538 5 1.067033 0 0
30 0.2194 200 43.06573 236.3664 5 1.048735 0 0
30 0.2194 200 42.73570 236.3541 5 1.064251 0 0
30 0.2194 200 42.77207 236.3755 5 1.063613 0 0
%n density b b_old lambda lse TP FP 
30 0.2188 1000 42.56519 1008.452 5 1.052669 0 0
30 0.2188 1000 42.71399 1008.452 5 1.058365 0 0
30 0.2188 1000 42.56834 1008.451 5 1.067224 0 0
30 0.2188 1000 42.91038 1008.452 5 1.043508 0 0
30 0.2188 1000 42.69095 1008.452 5 1.053099 0 0
30 0.2196 1000 42.72268 1008.452 5 1.044700 0 0
30 0.2196 1000 42.813 1008.452 5 1.042236 0 0
30 0.2196 1000 42.86172 1008.452 11 1.067002 0 0
30 0.2196 1000 42.89885 1008.452 5 1.070674 0 0
30 0.2196 1000 42.38992 1008.452 5 1.079720 0 0
30 0.219 1000 42.72408 1008.453 5 1.081237 0 0
30 0.219 1000 42.83322 1008.451 5 1.078692 0 0
30 0.219 1000 42.98673 1008.452 5 1.078220 0 0
30 0.219 1000 42.96337 1008.452 5 1.050573 0 0
30 0.219 1000 42.76075 1008.451 5 1.059325 0 0
30 0.2182 1000 42.63654 1008.451 5 1.061914 0 0
30 0.2182 1000 42.68603 1008.451 5 1.058525 0 0
30 0.2182 1000 42.66629 1008.452 5 1.066974 0 0
30 0.2182 1000 42.79615 1008.452 5 1.047010 0 0
30 0.2182 1000 42.64041 1008.452 5 1.050547 0 0
30 0.2194 1000 42.75143 1008.451 5 1.055294 0 0
30 0.2194 1000 43.05808 1008.452 5 1.037713 0 0
30 0.2194 1000 42.55426 1008.451 5 1.041257 0 0
30 0.2194 1000 42.746 1008.452 5 1.058455 0 0
30 0.2194 1000 42.6658 1008.452 5 1.075021 0 0
%n density b b_old lambda lse TP FP 
30 0.2188 10000 42.83644 9893.796 1 1.083819 0.09099617 0.07757296
30 0.2188 10000 42.81958 9885.018 1 1.083341 0.1159004 0.1026626
30 0.2188 10000 42.7842 9889.834 1 1.10748 0.08524904 0.08550947
30 0.2188 10000 42.8796 9886.904 1 1.129921 0.1139847 0.08371736
30 0.2188 10000 42.68739 9891.503 1 1.125191 0.07854406 0.0860215
30 0.2196 10000 42.77286 9888.763 1 1.117530 0.1011450 0.08303434
30 0.2196 10000 43.00645 9891.544 1 1.111768 0.1011450 0.07790876
30 0.2196 10000 42.58423 9886.377 1 1.083291 0.09637405 0.08124039
30 0.2196 10000 42.81882 9891.138 1 1.071064 0.09064885 0.08969759
30 0.2196 10000 42.82535 9890.793 1 1.054587 0.09828244 0.08149667
30 0.219 10000 42.70633 9891.275 1 1.120984 0.0985646 0.08399488
30 0.219 10000 42.58525 9887.076 1 1.087252 0.1215311 0.08988476
30 0.219 10000 42.8477 9885.071 1 1.111944 0.1253589 0.0950064
30 0.219 10000 42.58866 9894.684 1 1.087965 0.09473684 0.07759283
30 0.219 10000 42.81964 9892.544 1 1.106221 0.0937799 0.07580026
30 0.2182 10000 42.76961 9885.389 1 1.114114 0.1277618 0.08953697
30 0.2182 10000 42.90438 9888.043 1 1.088106 0.1152738 0.08595549
30 0.2182 10000 42.61488 9894.489 1 1.091442 0.07492795 0.06369916
30 0.2182 10000 43.0625 9893.459 1 1.098172 0.1095101 0.07802507
30 0.2182 10000 42.71079 9890.774 1 1.085093 0.09221902 0.0693272
30 0.2194 10000 42.89239 9889.893 1 1.109138 0.08978032 0.09069946
30 0.2194 10000 42.84897 9888.244 1 1.117267 0.08882521 0.08455035
30 0.2194 10000 42.64942 9887.417 1 1.110428 0.1069723 0.08608762
30 0.2194 10000 42.73652 9887.967 1 1.099488 0.1069723 0.08250064
30 0.2194 10000 42.57883 9896.218 1 1.135177 0.06876791 0.05482962
%n density b b_old lambda lse TP FP 
30 0.3138 1 42.61516 93.86205 6 1.087110 0 0
30 0.3138 1 43.00544 93.90711 8 1.085799 0 0
30 0.3138 1 42.59224 93.86123 6 1.098064 0 0
30 0.3138 1 42.61602 93.8556 6 1.085071 0 0
30 0.3138 1 43.00489 93.88978 6 1.110949 0 0
30 0.3146 1 42.74179 93.9108 6 1.108443 0 0
30 0.3146 1 42.9345 93.85317 8 1.089918 0 0
30 0.3146 1 42.87126 93.8644 6 1.071313 0 0
30 0.3146 1 42.62445 93.90829 8 1.052368 0 0
30 0.3146 1 42.60197 93.89379 8 1.094422 0 0
30 0.3138 1 42.76072 93.8971 6 1.082165 0 0
30 0.3138 1 42.72644 93.8785 6 1.047068 0 0
30 0.3138 1 42.97385 93.92878 6 1.107246 0 0
30 0.3138 1 42.98935 93.86258 6 1.103708 0 0
30 0.3138 1 42.75933 93.89007 6 1.089853 0 0
30 0.3128 1 42.76743 93.84995 6 1.069908 0 0
30 0.3128 1 42.72485 93.8745 6 1.078562 0 0
30 0.3128 1 42.96471 93.87198 6 1.065257 0 0
30 0.3128 1 42.55469 93.85519 6 1.069489 0 0
30 0.3128 1 42.72174 93.83855 6 1.085640 0 0
30 0.3138 1 42.63276 93.8721 6 1.108393 0 0
30 0.3138 1 42.67359 93.83993 6 1.074157 0 0
30 0.3138 1 42.87355 93.89534 6 1.108629 0 0
30 0.3138 1 42.63143 93.88205 8 1.073694 0 0
30 0.3138 1 42.51327 93.90592 6 1.096946 0 0
%n density b b_old lambda lse TP FP 
30 0.3138 10 42.75436 98.506 6 1.099547 0 0
30 0.3138 10 42.43414 98.43563 6 1.109093 0 0
30 0.3138 10 42.67625 98.45794 6 1.080472 0 0
30 0.3138 10 42.83837 98.48081 6 1.080193 0 0
30 0.3138 10 42.60883 98.47513 6 1.090730 0 0
30 0.3146 10 43.10259 98.47337 6 1.087002 0 0
30 0.3146 10 42.8957 98.44157 6 1.076421 0 0
30 0.3146 10 42.96638 98.5108 6 1.123586 0 0
30 0.3146 10 42.86651 98.43549 6 1.095922 0 0
30 0.3146 10 42.74755 98.46565 6 1.098496 0 0
30 0.3138 10 42.89817 98.48736 6 1.056950 0 0
30 0.3138 10 42.65766 98.48663 6 1.064027 0 0
30 0.3138 10 42.76277 98.45154 6 1.047063 0 0
30 0.3138 10 42.55723 98.45417 6 1.106192 0 0
30 0.3138 10 42.84945 98.48846 6 1.080724 0 0
30 0.3128 10 42.82261 98.48808 6 1.046367 0 0
30 0.3128 10 42.70859 98.4687 6 1.074871 0 0
30 0.3128 10 42.82521 98.43938 6 1.076774 0 0
30 0.3128 10 42.7466 98.4738 6 1.068420 0 0
30 0.3128 10 42.7738 98.46745 6 1.057589 0 0
30 0.3138 10 42.94475 98.47188 6 1.066214 0 0
