%n density  glcalls lse TP FP 
250 0.3128 11 1.080198 0 0
250 0.3128 11 1.056945 0 0
250 0.3128 11 1.107798 0 0
250 0.3128 11 1.072930 0 0
250 0.3138 11 1.060265 0 0
250 0.3138 11 1.075673 0 0
250 0.3138 11 1.070886 0 0
250 0.3138 11 1.075438 0 0
250 0.3138 11 1.063384 0 0
%n density  glcalls lse TP FP 
80 0.0614 11 1.200724 0.5447471 0.4613254
80 0.0614 13 1.261898 0.459144 0.4775197
80 0.0614 7 1.233084 0.5019455 0.4620712
80 0.0614 7 1.190731 0.5525292 0.4634562
80 0.0614 7 1.187802 0.5486381 0.4562114
80 0.0612 7 1.204232 0.515625 0.4639966
80 0.0612 12 1.268593 0.53125 0.4546229
80 0.0612 11 1.221233 0.5234375 0.4475927
80 0.0612 11 1.211062 0.5429688 0.4693225
80 0.0612 11 1.218071 0.5234375 0.460588
80 0.0616 13 1.206283 0.5348837 0.4673913
80 0.0616 13 1.169838 0.5891473 0.4560955
80 0.0616 7 1.168869 0.5775194 0.463555
80 0.0616 4 1.175107 0.5155039 0.4524723
80 0.0616 13 1.18301 0.5155039 0.4578005
80 0.0614 13 1.220602 0.536965 0.4585553
80 0.0614 12 1.243170 0.5525292 0.4621777
80 0.0614 12 1.218834 0.5525292 0.4703814
80 0.0614 11 1.203312 0.5486381 0.4643085
80 0.0614 4 1.214677 0.5175097 0.4700618
80 0.0618 12 1.212561 0.5366795 0.4542741
80 0.0618 7 1.205937 0.6254826 0.4559795
80 0.0618 12 1.232685 0.5289575 0.4613089
80 0.0618 7 1.226451 0.5675676 0.4587508
80 0.0618 7 1.226122 0.5250965 0.4508634
80 0.2188 11 1.207429 0.5507663 0.4673579
80 0.2188 13 1.218701 0.545977 0.4705581
80 0.2188 12 1.240215 0.51341 0.4639017
80 0.2188 13 1.218987 0.545977 0.4628776
80 0.2188 7 1.214966 0.5181992 0.4679980
80 0.2196 13 1.242167 0.4847328 0.4597642
80 0.2196 11 1.22355 0.5181298 0.4777037
80 0.2196 7 1.208353 0.5181298 0.4584828
80 0.2196 7 1.217733 0.5353053 0.4662993
80 0.2196 11 1.220409 0.5400763 0.4666838
80 0.219 11 1.226792 0.5435407 0.4796415
80 0.219 11 1.222380 0.5454545 0.4742638
80 0.219 13 1.241109 0.5205742 0.4609475
80 0.219 4 1.198663 0.4976077 0.459411
80 0.219 11 1.238160 0.5186603 0.4632522
80 0.2182 12 1.242683 0.5533141 0.4721156
80 0.2182 12 1.190696 0.5120077 0.4493477
80 0.2182 13 1.255343 0.5216138 0.4712203
80 0.2182 4 1.226049 0.5427474 0.465848
80 0.2182 12 1.204561 0.5264169 0.4561269
80 0.2194 4 1.220627 0.5157593 0.4547784
80 0.2194 12 1.270658 0.5530086 0.4803997
80 0.2194 11 1.223811 0.5253104 0.4704074
80 0.2194 15 1.191627 0.504298 0.4647707
80 0.2194 7 1.252188 0.5071633 0.4657955
80 0.3138 7 1.173103 0.5213957 0.4543865
80 0.3138 11 1.247436 0.5523371 0.4785777
80 0.3138 7 1.204353 0.5246873 0.4651705
80 0.3138 13 1.235771 0.5292956 0.4672107
80 0.3138 12 1.245827 0.5055958 0.468668
80 0.3146 11 1.216843 0.5357846 0.4715495
80 0.3146 7 1.230628 0.5200263 0.4791363
80 0.3146 11 1.241707 0.5390676 0.4595856
80 0.3146 13 1.246826 0.5508864 0.4697987
80 0.3146 12 1.206730 0.5036113 0.4700905
80 0.3138 11 1.231153 0.5424621 0.4631303
80 0.3138 12 1.236123 0.5003292 0.4721655
80 0.3138 7 1.221531 0.5391705 0.4599242
80 0.3138 11 1.250839 0.5082291 0.4829496
80 0.3138 7 1.230676 0.5154707 0.476246
80 0.3128 13 1.249632 0.502642 0.4688591
80 0.3128 12 1.229242 0.5264201 0.4735157
80 0.3128 11 1.218715 0.5409511 0.4714785
80 0.3128 4 1.244284 0.5178336 0.4589639
80 0.3128 11 1.194092 0.509247 0.4831199
80 0.3138 13 1.209704 0.5167874 0.4669193
80 0.3138 13 1.234591 0.5319289 0.4704168
80 0.3138 4 1.251592 0.5069124 0.4704168
80 0.3138 7 1.195148 0.5273206 0.4677936
80 0.3138 11 1.220951 0.5227123 0.4692509
110 0.0614 6 1.033505 0 0.0008523333
110 0.0614 6 1.027471 0 0
110 0.0614 6 1.02225 0 0.0002130833
110 0.0614 6 1.014469 0 0
110 0.0614 6 0.996531 0 0
110 0.0612 6 1.006387 0 0.0002130379
110 0.0612 6 1.006312 0.0078125 0.0002130379
110 0.0612 6 1.014379 0 0
110 0.0612 8 1.005167 0 0
110 0.0612 6 1.025434 0 0
110 0.0616 6 0.9889767 0 0
110 0.0616 6 1.022353 0 0
110 0.0616 6 1.025030 0 0.0002131287
110 0.0616 6 1.037138 0 0.000852515
110 0.0616 6 1.030647 0 0
110 0.0614 6 1.020418 0 0
110 0.0614 6 1.025179 0.003891051 0.0002130833
110 0.0614 6 1.001124 0.01945525 0.00319625
110 0.0614 6 1.058172 0 0
110 0.0614 6 1.001515 0 0
110 0.0618 6 1.025528 0 0
110 0.0618 6 1.016713 0.003861004 0.0004263483
110 0.0618 6 1.062558 0.007722008 0.002771264
110 0.0618 6 1.050188 0.007722008 0.001492219
110 0.0618 6 1.019029 0 0
110 0.2188 6 1.056591 0 0
110 0.2188 6 1.074928 0 0
110 0.2188 6 1.063202 0.007662835 0.0005120328
110 0.2188 6 1.038878 0.02681992 0.005376344
110 0.2188 6 1.066844 0.00862069 0.002560164
110 0.2196 6 1.066735 0.0009541985 0
110 0.2196 6 1.059352 0.001908397 0.0007688365
110 0.2196 6 1.049773 0.0009541985 0.0002562788
110 0.2196 7 1.093318 0 0
110 0.2196 6 1.074025 0 0
110 0.219 6 1.075434 0.001913876 0.0002560819
110 0.219 6 1.072633 0.02679426 0.009987196
110 0.219 6 1.057692 0.004784689 0.001280410
110 0.219 6 1.053784 0.0009569378 0.0002560819
110 0.219 6 1.077608 0 0
110 0.2182 6 1.036096 0 0
110 0.2182 6 1.039377 0 0
110 0.2182 8 1.029321 0.001921230 0.0005116398
110 0.2182 6 1.083922 0 0
110 0.2182 6 1.047813 0 0
110 0.2194 6 1.05359 0 0.0002562132
110 0.2194 6 1.028568 0 0
110 0.2194 6 1.109294 0 0
110 0.2194 7 1.107925 0 0
110 0.2194 6 1.082929 0.01337154 0.002305919
110 0.3138 6 1.090875 0.008558262 0.004371903
110 0.3138 6 1.096264 0.001974984 0.0008743806
110 0.3138 6 1.094510 0.001974984 0.0005829204
110 0.3138 6 1.058011 0 0
