%n density b b_old_avg lambda glcalls_avg lse TP FP 
%n density b b_old lambda lse TP FP 
30 0.2196 10 42.68595 852.9298 8 1.063492 0 0
30 0.2196 10 42.66618 852.7197 8 1.057203 0 0
30 0.2196 10 42.43684 852.7587 8 1.098200 0 0
30 0.219 10 42.45772 852.7205 8 1.059557 0 0
30 0.219 10 42.65599 852.5292 8 1.094809 0 0
30 0.219 10 42.84395 852.6136 8 1.087542 0 0
30 0.219 10 42.92465 852.7577 8 1.045040 0 0
30 0.219 10 42.7182 852.6912 8 1.046663 0 0
30 0.2182 10 42.67845 852.8175 8 1.092111 0 0
30 0.2182 10 42.92184 852.906 8 1.086582 0 0
30 0.2182 10 42.84067 852.652 8 1.078465 0 0
30 0.2182 10 42.52341 852.7494 8 1.055919 0 0
30 0.2182 10 42.641 852.6962 8 1.085271 0 0
30 0.2194 10 42.68478 852.7772 8 1.056942 0 0
30 0.2194 10 42.65129 852.6632 8 1.062433 0 0
30 0.2194 10 42.81128 852.8003 8 1.066859 0 0
30 0.2194 10 42.72385 852.8384 8 1.067678 0 0
30 0.2194 10 42.83663 852.7928 8 1.057401 0 0
%n density b b_old lambda lse TP FP 
30 0.2188 100 42.6757 87.30939 6 1.060468 0 0
30 0.2188 100 42.72617 87.2658 6 1.070654 0 0
30 0.2188 100 42.42554 87.31546 6 1.043277 0 0
30 0.2188 100 42.83643 87.20183 6 1.066048 0 0
30 0.2188 100 42.75429 87.30406 6 1.091274 0 0
30 0.2196 100 42.62452 87.3636 6 1.074546 0 0
30 0.2196 100 42.71026 87.342 6 1.048134 0 0
30 0.2196 100 42.65622 87.35337 6 1.079047 0 0
30 0.2196 100 42.88945 87.33842 6 1.066437 0 0
30 0.2196 100 42.91796 87.31558 6 1.051383 0 0
30 0.219 100 42.45917 87.29599 6 1.063718 0 0
30 0.219 100 42.67599 87.22241 6 1.045982 0 0
30 0.219 100 42.69995 87.34453 6 1.095527 0 0
30 0.219 100 43.19276 87.30973 6 1.072767 0 0
30 0.219 100 42.82152 87.29924 6 1.079072 0 0
30 0.2182 100 42.80389 87.24884 6 1.074491 0 0
30 0.2182 100 42.73211 87.19107 6 1.063183 0 0
30 0.2182 100 42.75344 87.29041 6 1.056777 0 0
30 0.2182 100 42.73391 87.23661 6 1.077512 0 0
30 0.2182 100 42.74399 87.29713 6 1.066331 0 0
30 0.2194 100 42.92624 87.2798 6 1.063923 0 0
30 0.2194 100 42.62592 87.30645 6 1.062242 0 0
30 0.2194 100 42.81423 87.38855 6 1.085696 0 0
30 0.2194 100 42.91949 87.25593 6 1.078406 0 0
30 0.2194 100 42.99323 87.37142 6 1.075733 0 0
%n density b b_old lambda lse TP FP 
30 0.2188 200 42.84530 44.43133 6 1.04406 0 0
30 0.2188 200 43.02999 44.35238 6 1.055838 0 0
30 0.2188 200 42.77138 44.48049 6 1.060331 0 0
30 0.2188 200 42.47849 44.42746 6 1.053618 0 0
30 0.2188 200 42.82449 44.43091 6 1.079294 0 0
30 0.2196 200 42.72610 44.40965 6 1.035223 0 0
30 0.2196 200 42.873 44.44322 12 1.058363 0 0
30 0.2196 200 42.79534 44.49648 12 1.060231 0 0
30 0.2196 200 42.75402 44.45964 9 1.088277 0 0
30 0.2196 200 42.49382 44.44256 6 1.042075 0 0
30 0.219 200 42.89298 44.47057 6 1.041181 0 0
30 0.219 200 42.64746 44.4472 6 1.053867 0 0
30 0.219 200 42.83548 44.47693 6 1.067860 0 0
30 0.219 200 43.00338 44.42892 6 1.047513 0 0
30 0.219 200 42.99158 44.46986 6 1.054466 0 0
30 0.2182 200 42.79291 44.46486 6 1.063542 0 0
30 0.2182 200 42.90211 44.45543 8 1.048247 0 0
30 0.2182 200 42.68067 44.5125 6 1.064363 0 0
30 0.2182 200 42.93714 44.5424 12 1.055071 0 0
30 0.2182 200 42.79385 44.48164 6 1.085515 0 0
30 0.2194 200 42.71546 44.41058 6 1.077973 0 0
30 0.2194 200 42.60926 44.48353 6 1.047537 0 0
30 0.2194 200 42.99841 44.47241 9 1.046993 0 0
30 0.2194 200 42.69623 44.4767 6 1.067952 0 0
