%n density b lambda lse TP FP 
30 0.219 200 13 1.461559 0.5507177 0.5551857
30 0.219 200 14 1.454589 0.5574163 0.5256082
30 0.219 200 12 1.484734 0.5861244 0.5434059
30 0.2182 200 11 1.423610 0.5662824 0.5401637
30 0.2182 200 13 1.468219 0.5614793 0.5569199
30 0.2182 200 14 1.436956 0.5475504 0.5452801
30 0.2182 200 10 1.464290 0.5528338 0.5464313
30 0.2182 200 10 1.453966 0.5590778 0.5376055
30 0.2194 200 12 1.452428 0.5425024 0.5380477
30 0.2194 200 13 1.496121 0.5253104 0.539713
30 0.2194 200 13 1.473664 0.5339064 0.5363823
30 0.2194 200 12 1.411037 0.5544413 0.5339482
30 0.2194 200 11 1.457697 0.5510984 0.5426595
30 0.2188 100 10 1.300623 0.48659 0.4650538
30 0.2188 100 13 1.401582 0.4492337 0.4494368
30 0.2188 100 10 1.412984 0.4952107 0.4612135
30 0.2188 100 12 1.379206 0.4885057 0.452509
30 0.2188 100 13 1.381742 0.4616858 0.4555812
30 0.2196 100 12 1.333142 0.4818702 0.4662993
30 0.2196 100 13 1.373266 0.5229008 0.4609175
30 0.2196 100 13 1.400150 0.4627863 0.4643772
30 0.2196 100 10 1.385182 0.4833015 0.458611
30 0.2196 100 11 1.365415 0.4875954 0.464121
30 0.219 100 10 1.373794 0.5239234 0.4428937
30 0.219 100 10 1.311379 0.4909091 0.4674776
30 0.219 100 13 1.376004 0.4822967 0.4615877
30 0.219 100 12 1.358365 0.4665072 0.4617157
30 0.219 100 14 1.375605 0.4751196 0.4478873
30 0.2182 100 10 1.387916 0.4889529 0.4669992
30 0.2182 100 14 1.364510 0.4707012 0.4419289
30 0.2182 100 12 1.374609 0.4534102 0.4608596
30 0.2182 100 10 1.377820 0.4822286 0.4640573
30 0.2182 100 10 1.393080 0.4759846 0.4643131
30 0.2194 100 12 1.368709 0.4971347 0.4647707
30 0.2194 100 12 1.359224 0.5066858 0.4554189
30 0.2194 100 13 1.444672 0.5014327 0.4552908
30 0.2194 100 10 1.345051 0.4928367 0.459134
30 0.2194 100 10 1.361230 0.465616 0.4600307
30 0.3138 1e+05 1 1.090652 0.1059908 0.0813174
30 0.3138 1e+05 1 1.136103 0.0994075 0.07432235
30 0.3138 1e+05 1 1.128556 0.1000658 0.084232
30 0.3138 1e+05 1 1.130478 0.0921659 0.07461382
30 0.3138 1e+05 1 1.167216 0.1086241 0.0886039
30 0.3146 1e+05 1 1.113670 0.1024294 0.08549752
30 0.3146 1e+05 1 1.087790 0.08929744 0.08403852
30 0.3146 1e+05 1 1.114216 0.1089954 0.08899912
30 0.3146 1e+05 1 1.091092 0.09520683 0.08462212
30 0.3146 1e+05 1 1.092407 0.09980302 0.09191713
30 0.3138 1e+05 1 1.098809 0.08953259 0.08306616
30 0.3138 1e+05 1 1.125907 0.09479921 0.07956864
30 0.3138 1e+05 1 1.091783 0.1296906 0.08772952
30 0.3138 1e+05 1 1.112844 0.09743252 0.0798601
30 0.3138 1e+05 1 1.080251 0.1125741 0.08598076
30 0.3128 1e+05 1 1.106966 0.1360634 0.09051222
30 0.3128 1e+05 1 1.148327 0.09445178 0.08818393
30 0.3128 1e+05 1 1.119292 0.1122853 0.09633295
30 0.3128 1e+05 1 1.119108 0.09511229 0.06955763
30 0.3128 1e+05 1 1.144692 0.1076618 0.08236321
30 0.3138 1e+05 1 1.106239 0.1105991 0.1002623
30 0.3138 1e+05 1 1.090442 0.1040158 0.09880501
30 0.3138 1e+05 1 1.137124 0.1138907 0.09239289
30 0.3138 1e+05 1 1.140752 0.1165240 0.09589041
30 0.3138 1e+05 1 1.109225 0.09414088 0.08802099
30 0.3138 20000 9 1.542751 0.6191573 0.5887496
30 0.3138 20000 12 1.555527 0.620474 0.582046
30 0.3138 20000 9 1.573436 0.618499 0.5861265
30 0.3138 20000 9 1.559368 0.6082949 0.5872923
30 0.3138 20000 10 1.578949 0.5878868 0.5884582
30 0.3146 20000 12 1.559649 0.5994747 0.5840385
30 0.3146 20000 9 1.571737 0.5915955 0.5868106
30 0.3146 20000 9 1.555511 0.6106369 0.5795156
30 0.3146 20000 9 1.557218 0.583388 0.5946892
30 0.3146 20000 10 1.560319 0.6283651 0.5830172
30 0.3138 20000 11 1.595788 0.5947992 0.5928301
30 0.3138 20000 11 1.545421 0.5961159 0.595599
30 0.3138 20000 11 1.588338 0.6030283 0.5872923
30 0.3138 20000 9 1.560247 0.5957867 0.5909356
30 0.3138 20000 12 1.588675 0.5875576 0.5883124
30 0.3128 20000 12 1.573206 0.6020476 0.5985157
30 0.3128 20000 13 1.532040 0.6079921 0.5922584
30 0.3128 20000 12 1.572526 0.596103 0.5938591
30 0.3128 20000 11 1.514154 0.6188904 0.5945867
30 0.3128 20000 10 1.556352 0.5891678 0.5947322
30 0.3138 20000 11 1.512415 0.6033575 0.6031769
30 0.3138 20000 11 1.585332 0.6050033 0.5967648
30 0.3138 20000 10 1.524831 0.5957867 0.5845235
30 0.3138 20000 10 1.595915 0.6158657 0.5945788
30 0.3138 20000 10 1.559657 0.5915076 0.6053629
30 0.3138 10000 12 1.547678 0.5957867 0.5990965
30 0.3138 10000 11 1.580667 0.6112574 0.5910813
30 0.3138 10000 10 1.604929 0.6059908 0.5992422
30 0.3138 10000 12 1.605680 0.6105991 0.5953075
30 0.3138 10000 12 1.557659 0.6109282 0.5830662
30 0.3146 10000 12 1.549985 0.6103086 0.5945433
30 0.3146 10000 11 1.515225 0.5889691 0.5938138
30 0.3146 10000 10 1.556227 0.5863427 0.5895827
30 0.3146 10000 10 1.549014 0.6040709 0.5938138
30 0.3146 10000 10 1.544774 0.5929087 0.5939597
30 0.3138 10000 10 1.572561 0.6059908 0.5897697
30 0.3138 10000 12 1.574998 0.5994075 0.5906441
30 0.3138 10000 12 1.606598 0.5957867 0.5807345
